GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2015091400,2015-09-14,2,0,0,,PHI,0,0,0,,1,,0,"END QUARTER 2",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091401,2015-09-14,2,5,12,SF,MIN,2,2,15,,1,,0,"(5:12) 28-C.HYDE RIGHT END TO SF 18 FOR 3 YARDS (23-T.NEWMAN).",0,,,2015,3,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT END",15,OWN,0,,0,,0
2015091401,2015-09-14,4,2,0,,MIN,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091700,2015-09-17,3,0,0,,DEN,0,0,0,,1,,0,"END QUARTER 3",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091700,2015-09-17,4,11,36,DEN,KC,1,10,22,,0,,0,"(11:36) (SHOTGUN) 18-P.MANNING PASS INCOMPLETE DEEP LEFT TO 10-E.SANDERS (30-J.FLEMING).",0,,,2015,0,SHOTGUN,PASS,0,1,1,0,"DEEP LEFT",0,0,0,,0,0,0,0,0,0,,22,OWN,0,,0,,0
2015092000,2015-09-20,2,0,0,,HOU,0,0,0,,1,,0,"END QUARTER 2",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092000,2015-09-20,4,6,38,,HOU,0,0,0,,1,,0,"TIMEOUT #2 BY CAR AT 06:38.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092000,2015-09-20,4,0,0,,HOU,0,0,0,,1,,0,"END GAME",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092001,2015-09-20,1,15,0,BUF,NE,1,10,20,,0,,0,"(15:00) 25-L.MCCOY RIGHT GUARD TO BUF 24 FOR 4 YARDS (96-S.SILIGA).",0,,,2015,4,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",20,OWN,0,,0,,0
2015092001,2015-09-20,1,6,42,BUF,NE,4,15,23,,0,,0,"(6:42) 6-C.SCHMIDT PUNTS 49 YARDS TO NE 28, CENTER-65-G.SANBORN. 80-D.AMENDOLA PUSHED OB AT NE 38 FOR 10 YARDS (20-C.GRAHAM).",0,,,2015,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,23,OWN,0,,0,,0
2015092001,2015-09-20,1,6,32,NE,BUF,1,10,38,,1,,0,"(6:32) 12-T.BRADY PASS SHORT LEFT TO 17-A.DOBSON PUSHED OB AT BUF 46 FOR 16 YARDS (24-S.GILMORE). CAUGHT NEAR SIDELINE AT 50.",0,,,2015,16,"UNDER CENTER",PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,38,OWN,0,,0,,0
2015092001,2015-09-20,4,2,28,,NE,0,0,0,,1,,0,"TIMEOUT #3 BY BUF AT 02:28.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092002,2015-09-20,4,11,50,,SD,0,0,0,,1,,0,"TIMEOUT #1 BY SD AT 11:50.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092002,2015-09-20,4,0,0,,SD,0,0,0,,1,,0,"END GAME",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092004,2015-09-20,4,6,2,ATL,NYG,1,10,40,,0,,0,"(6:02) 2-M.RYAN SACKED AT ATL 29 FOR -11 YARDS (91-R.AYERS JR.).",0,,,2015,-11,"UNDER CENTER",SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,0,,40,OWN,0,,0,,0
2015092005,2015-09-20,3,0,0,,STL,0,0,0,,1,,0,"END QUARTER 3",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092006,2015-09-20,4,10,13,,ARI,0,0,0,,1,,0,"TIMEOUT #1 BY CHI AT 10:13.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092008,2015-09-20,2,2,0,,TB,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092008,2015-09-20,4,2,6,,TB,0,0,0,,1,,0,"TIMEOUT #1 BY TB AT 02:06.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092008,2015-09-20,4,1,51,TB,NO,0,0,35,,1,,0,"2-K.BRINDZA KICKS 65 YARDS FROM TB 35 TO END ZONE, TOUCHBACK.",0,,,2015,0,"UNDER CENTER","KICK OFF",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2015092009,2015-09-20,2,10,58,,SF,0,0,0,,1,,0,"TIMEOUT #2 BY SF AT 10:58.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092009,2015-09-20,2,0,0,,SF,0,0,0,,1,,0,"END QUARTER 2",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092010,2015-09-20,1,11,6,BAL,OAK,2,6,34,,1,,0,"(11:06) 5-J.FLACCO PASS SHORT LEFT TO 14-M.BROWN PUSHED OB AT BAL 41 FOR 7 YARDS (25-D.HAYDEN).",0,,,2015,7,"UNDER CENTER",PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,34,OWN,0,,0,,0
