name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_misc_tds,defense_misc_yds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_rcv,fumbles_rec,fumbles_rec_yds,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_fgyds,kicking_i20,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_yds,penalty,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,puntret_tot,puntret_yds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac_yds,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
L.Foote,00-0021246,yes,PIT,,2,0,,,,,0,,,,,,,1,,0.5,-5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Dawson,00-0004091,no,CLE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,20,,,20,1,2,3,,0,0,0,0,0,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Brown,00-0027793,yes,PIT,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,22,0,1,0,21,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,79,79,5,8,1,0,0,85,151,,,,,,,,
M.Wallace,00-0026901,yes,PIT,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,4,5,0,0,0,24,57,1,21,0,0,0,0,,21
B.Roethlisberger,00-0022924,yes,PIT,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,16,122,5,77,1,1,1,-5,2,0,0,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Brown,00-0021186,no,CLE,,0,0,,1,,0,0,,,,,,,,,0,,,3,,1,,,0,,0,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Sheard,00-0027975,no,CLE,DE,1,0,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Mendenhall,00-0026163,yes,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,0,0,0,0,,76
A.Rubin,00-0026330,no,CLE,DT,3,0,,,,,0,,,,,,,,,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Gocong,00-0024286,no,CLE,,1,0,,,,,0,,,,,,,,,0,,,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Jackson,00-0024249,no,CLE,ILB,6,0,,1,,1,0,,,,,,,1,,1,-6,,7,1,2,,,0,,0,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Mitchell,00-0023893,no,CLE,,0,0,,,,,0,,,,,,,1,,0,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Cotchery,00-0022811,yes,PIT,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,11,2,3,1,0,0,13,33,,,,,,,,
M.Massaquoi,00-0027026,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,3,7,0,0,0,5,44,,,,,,,,
A.Mack,00-0026997,no,CLE,C,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Maynard,00-0010609,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,4,49,6,6,,205,,,,,,,,,,,,,,,,,,,,,,,,,
J.Haden,00-0027860,no,CLE,CB,3,1,,,,,0,,,,,,,,,0,,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Schaefering,00-0026084,no,CLE,,0,0,,,,,0,,,,,,,,,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Taylor,00-0027959,no,CLE,,1,0,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Adams,00-0022247,no,CLE,SS,4,0,,,,,1,,29,,,1,,,,0,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.Young,00-0025453,no,CLE,,1,0,,,,,0,,,,,,,,,0,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.Redman,00-0026566,yes,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,0,0,0,0,,35
K.Maiava,00-0027074,no,CLE,,0,1,,,,,0,,,,,,,,,0,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Ward,00-0017162,yes,PIT,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,1,0,0,0,8,6,,,,,,,,
M.Gilbert,00-0028001,yes,PIT,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Miller,00-0023465,yes,PIT,TE,,,,,,,,,,,,,,,,,,,1,,,,1,1,,0,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,2,4,0,0,0,13,11,,,,,,,,
M.Hardesty,00-0027666,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,2,2,0,0,0,13,9,11,5,0,0,0,0,,24
J.Norwood,00-0026739,no,CLE,WR,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,14,0,3,0,3,29,14,0,2,4,0,0,0,9,21,,,,,,,,
G.Little,00-0027997,no,CLE,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,2,6,0,0,0,9,25,,,,,,,,
C.Ogbonnaya,00-0027140,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,28,0,0,0,0,,31
S.McLendon,00-0026564,yes,PIT,NT,1,0,,,,,0,,,,,,,1,,0.5,-5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Paxson,00-0024081,no,CLE,,1,0,,,,,0,,,,,,,1,,1,-5,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Patterson,00-0023727,no,CLE,,1,0,,,,,0,,,,,2,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Batch,00-0000865,yes,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,2,8,,0,1,-6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Moore,00-0022217,yes,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,0,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,0,0,0,,15
J.Kapinos,00-0025786,yes,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,1,54,4,4,,165,,,,,,,,,,,,,,,,,,,,,,,,,
M.Ivy,00-0026709,yes,PIT,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Brown,00-0028033,yes,PIT,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Smith,00-0023506,no,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,2,3,0,0,0,1,19,,,,,,,,
R.Foster,00-0026561,yes,PIT,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Heyward,00-0027969,yes,PIT,DE,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Kemoeatu,00-0023362,yes,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Thomas,00-0025390,no,CLE,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
